key,value,date
1,138,2010-03-12
1,310,2010-03-26
1,376,2010-04-09
1,337,2010-04-23
1,238,2010-05-07
1,354,2010-05-21
1,546,2010-06-04
1,543,2010-06-18
1,371,2010-07-02
1,216,2010-07-16
1,239,2010-07-30
1,386,2010-08-13
1,479,2010-08-27
1,395,2010-09-10
1,386,2010-09-24
1,304,2010-10-08
1,157,2010-10-22
1,282,2010-11-05
1,443,2010-11-19
1,465,2010-12-03
1,504,2010-12-17
1,512,2010-12-31
1,608,2011-01-14
1,652,2011-01-28
1,411,2011-02-11
1,200,2011-02-25
1,62,2011-03-11
1,58,2011-03-25
1,361,2011-04-08
1,614,2011-04-22
1,517,2011-05-06
1,208,2011-05-20
1,42,2011-06-03
1,243,2011-06-17
1,364,2011-07-01
1,374,2011-07-15
1,325,2011-07-29
1,173,2011-08-12
1,240,2011-08-26
1,363,2011-09-09
1,319,2011-09-23
1,302,2011-10-07
1,276,2011-10-21
1,181,2011-11-04
1,70,2011-11-18
1,0,2011-12-02
1,1,2011-12-16
1,1,2011-12-30
1,0,2012-01-13
1,2,2012-01-27
1,2,2012-02-10
1,0,2012-02-24
1,0,2012-03-09
1,4,2012-03-23
1,4,2012-04-06
1,0,2012-04-20
1,0,2012-05-04
1,0,2012-05-18
1,0,2012-06-01
1,0,2012-06-15
1,0,2012-06-29
1,0,2012-07-13
1,0,2012-07-27
1,0,2012-08-10
1,0,2012-08-24
1,0,2012-09-07
1,0,2012-09-21
1,0,2012-10-05
1,0,2012-10-19
1,0,2012-11-02
1,0,2012-11-16
1,0,2012-11-30
1,0,2012-12-14
1,0,2012-12-28
1,0,2013-01-11
1,0,2013-01-25
1,0,2013-02-08
1,0,2013-02-22
1,0,2013-03-08
1,0,2013-03-22
1,0,2013-04-05
1,0,2013-04-19
1,0,2013-05-03
1,0,2013-05-17
1,0,2013-05-31
1,0,2013-06-14
1,0,2013-06-28
1,0,2013-07-12
1,0,2013-07-26
1,0,2013-08-09
1,0,2013-08-23
1,0,2013-09-06
1,0,2013-09-20
1,0,2013-10-04
1,0,2013-10-18
1,1,2013-11-01
1,1,2013-11-15
1,0,2013-11-29
1,0,2013-12-13
1,0,2013-12-27
1,0,2014-01-10
1,0,2014-01-24
1,0,2014-02-07
1,0,2014-02-21
1,0,2014-03-07
1,0,2014-03-21
1,0,2014-04-04
1,0,2014-04-18
1,0,2014-05-02
1,0,2014-05-16
1,0,2014-05-30
1,0,2014-06-13
1,0,2014-06-27
1,0,2014-07-11
1,0,2014-07-25
1,0,2014-08-08
1,0,2014-08-22
1,0,2014-09-05
1,0,2014-09-19
2,17,2010-03-12
2,27,2010-03-26
2,14,2010-04-09
2,5,2010-04-23
2,2,2010-05-07
2,1,2010-05-21
2,14,2010-06-04
2,27,2010-06-18
2,13,2010-07-02
2,0,2010-07-16
2,0,2010-07-30
2,17,2010-08-13
2,38,2010-08-27
2,21,2010-09-10
2,7,2010-09-24
2,15,2010-10-08
2,19,2010-10-22
2,24,2010-11-05
2,32,2010-11-19
2,19,2010-12-03
2,1,2010-12-17
2,8,2010-12-31
2,7,2011-01-14
2,9,2011-01-28
2,12,2011-02-11
2,3,2011-02-25
2,0,2011-03-11
2,0,2011-03-25
2,1,2011-04-08
2,15,2011-04-22
2,14,2011-05-06
2,25,2011-05-20
2,34,2011-06-03
2,20,2011-06-17
2,11,2011-07-01
2,11,2011-07-15
2,12,2011-07-29
2,14,2011-08-12
2,19,2011-08-26
2,32,2011-09-09
2,32,2011-09-23
2,12,2011-10-07
2,6,2011-10-21
2,28,2011-11-04
2,28,2011-11-18
2,5,2011-12-02
2,6,2011-12-16
2,23,2011-12-30
2,24,2012-01-13
2,9,2012-01-27
2,16,2012-02-10
2,24,2012-02-24
2,44,2012-03-09
2,29,2012-03-23
2,54,2012-04-06
2,60,2012-04-20
2,33,2012-05-04
2,51,2012-05-18
2,27,2012-06-01
2,31,2012-06-15
2,63,2012-06-29
2,94,2012-07-13
2,66,2012-07-27
2,23,2012-08-10
2,25,2012-08-24
2,36,2012-09-07
2,27,2012-09-21
2,0,2012-10-05
2,0,2012-10-19
2,0,2012-11-02
2,0,2012-11-16
2,0,2012-11-30
2,19,2012-12-14
2,40,2012-12-28
2,21,2013-01-11
2,10,2013-01-25
2,18,2013-02-08
2,8,2013-02-22
2,0,2013-03-08
2,19,2013-03-22
2,35,2013-04-05
2,18,2013-04-19
2,2,2013-05-03
2,0,2013-05-17
2,0,2013-05-31
2,0,2013-06-14
2,12,2013-06-28
2,14,2013-07-12
2,27,2013-07-26
2,32,2013-08-09
2,30,2013-08-23
2,45,2013-09-06
2,42,2013-09-20
2,20,2013-10-04
2,2,2013-10-18
2,2,2013-11-01
2,12,2013-11-15
2,12,2013-11-29
2,3,2013-12-13
2,4,2013-12-27
2,1,2014-01-10
2,21,2014-01-24
2,25,2014-02-07
2,4,2014-02-21
2,0,2014-03-07
2,14,2014-03-21
2,14,2014-04-04
2,1,2014-04-18
2,1,2014-05-02
2,9,2014-05-16
2,9,2014-05-30
2,0,2014-06-13
2,0,2014-06-27
2,0,2014-07-11
2,0,2014-07-25
2,0,2014-08-08
2,0,2014-08-22
2,0,2014-09-05
2,0,2014-09-19
3,12,2010-03-12
3,12,2010-03-26
3,0,2010-04-09
3,3,2010-04-23
3,3,2010-05-07
3,6,2010-05-21
3,6,2010-06-04
3,0,2010-06-18
3,0,2010-07-02
3,1,2010-07-16
3,1,2010-07-30
3,3,2010-08-13
3,6,2010-08-27
3,3,2010-09-10
3,3,2010-09-24
3,3,2010-10-08
3,0,2010-10-22
3,0,2010-11-05
3,2,2010-11-19
3,4,2010-12-03
3,2,2010-12-17
3,0,2010-12-31
3,0,2011-01-14
3,5,2011-01-28
3,5,2011-02-11
3,0,2011-02-25
3,0,2011-03-11
3,0,2011-03-25
3,0,2011-04-08
3,0,2011-04-22
3,0,2011-05-06
3,2,2011-05-20
3,2,2011-06-03
3,1,2011-06-17
3,4,2011-07-01
3,3,2011-07-15
3,3,2011-07-29
3,3,2011-08-12
3,0,2011-08-26
3,7,2011-09-09
3,7,2011-09-23
3,0,2011-10-07
3,0,2011-10-21
